Date,Open,High,Low,Close,Adj Close,Volume
2020-11-29,23020.552734,23771.367188,22812.015625,23600.826172,23600.826172,40422929655
2020-11-30,23601.916016,25539.689453,23601.916016,25498.355469,25498.355469,62009987218
2020-12-01,25508.666016,25747.275391,23775.000000,24319.798828,24319.798828,64196174178
2020-12-02,24318.175781,24989.980469,23745.835938,24803.392578,24803.392578,48296305533
2020-12-03,24809.638672,25198.320313,24462.523438,25023.039063,25023.039063,41089081929
2020-12-04,25025.056641,25098.613281,23907.166016,23905.966797,23905.966797,43302799617
2020-12-05,23904.203125,24494.910156,23765.888672,24486.960938,24486.960938,34827026978
2020-12-06,24486.896484,24784.587891,24159.255859,24726.681641,24726.681641,32330175298
2020-12-07,24724.136719,24811.228516,24245.910156,24572.388672,24572.388672,34437289562
2020-12-08,24572.257813,24658.361328,23413.574219,23481.021484,23481.021484,40617946500
2020-12-09,23480.687500,23894.646484,22947.404297,23800.703125,23800.703125,44153972690
2020-12-10,23799.914063,23799.914063,22837.884766,23272.466797,23272.466797,32551057406
2020-12-11,23271.113281,23275.361328,22506.591797,23059.648438,23059.648438,35650952530
2020-12-12,23049.964844,24162.916016,23047.320313,24014.902344,24014.902344,27781091045
2020-12-13,24018.873047,24752.935547,23926.365234,24409.371094,24409.371094,32453114181
2020-12-14,24412.060547,24629.351563,24264.837891,24561.123047,24561.123047,28679630291
2020-12-15,24561.476563,24780.164063,24357.650391,24658.501953,24658.501953,33960686567
2020-12-16,24660.714844,27343.261719,24516.099609,27166.025391,27166.025391,56611097927
2020-12-17,27163.162109,30071.216797,27062.554688,29036.466797,29036.466797,90882168158
2020-12-18,29038.548828,29604.582031,28589.082031,29589.865234,29589.865234,51649859211
2020-12-19,29583.349609,30802.076172,29191.519531,30525.814453,30525.814453,49219606506
2020-12-20,30515.500000,30972.386719,29602.333984,30075.871094,30075.871094,48480802951
2020-12-21,30072.232422,30908.416016,28541.398438,29308.001953,29308.001953,58932888435
2020-12-22,29296.380859,30671.726563,28883.396484,30662.863281,30662.863281,56949381724
2020-12-23,30661.505859,30946.136719,29302.539063,29851.392578,29851.392578,65692590665
2020-12-24,29849.925781,30595.912109,29249.964844,30529.535156,30529.535156,52838689354
2020-12-25,30526.472656,31813.019531,30170.296875,31754.683594,31754.683594,54160956231
2020-12-26,31770.423828,34398.179688,31571.736328,34036.363281,34036.363281,62225866761
2020-12-27,34039.371094,36420.468750,33309.851563,33737.042969,33737.042969,85368828343
2020-12-28,33747.992188,35146.531250,33659.101563,34786.046875,34786.046875,63005439053
2020-12-29,34782.199219,35090.632813,33332.531250,35085.894531,35085.894531,58042939241
2020-12-30,35082.886719,36903.199219,35082.886719,36777.839844,36777.839844,65401490499
