Date,Open,High,Low,Close,Adj Close,Volume
2020-11-30,1.729500,1.729500,1.729500,1.729500,1.729500,0
2020-12-01,1.735700,1.735700,1.735700,1.735700,1.735700,0
2020-12-02,1.726300,1.726300,1.726300,1.726300,1.726300,0
2020-12-03,1.729000,1.729000,1.729000,1.729000,1.729000,0
2020-12-04,1.717950,1.717950,1.717950,1.717950,1.717950,0
2020-12-07,1.714900,1.714900,1.714900,1.714900,1.714900,40
2020-12-08,1.711700,1.711700,1.711700,1.711700,1.711700,0
2020-12-09,1.717350,1.717350,1.717350,1.717350,1.717350,0
2020-12-10,1.694000,1.694000,1.694000,1.693850,1.693850,1
2020-12-11,1.689250,1.689250,1.689250,1.689250,1.689250,0
2020-12-14,1.702310,1.702310,1.702310,1.702310,1.702310,0
2020-12-15,1.706000,1.706000,1.706000,1.706000,1.706000,0
2020-12-16,1.719850,1.719850,1.719850,1.719850,1.719850,0
2020-12-17,1.728300,1.728300,1.728300,1.728300,1.728300,0
2020-12-18,1.727750,1.727750,1.727750,1.727750,1.727750,0
2020-12-21,1.727250,1.727250,1.727250,1.727250,1.727250,0
2020-12-22,1.723400,1.723400,1.723400,1.723400,1.723400,0
2020-12-23,1.733900,1.733900,1.733900,1.733900,1.733900,0
2020-12-24,null,null,null,null,null,null
2020-12-28,1.727700,1.727700,1.727700,1.727700,1.727700,0
2020-12-29,1.730000,1.730000,1.730000,1.730000,1.730000,0
2020-12-30,1.737900,1.737900,1.737900,1.737900,1.737900,0
2020-12-31,1.743550,1.743550,1.743550,1.743550,1.743550,0
2021-01-04,1.733350,1.733350,1.733350,1.733350,1.733350,0
2021-01-05,1.726450,1.726450,1.726450,1.726450,1.726450,0
2021-01-06,1.726850,1.726850,1.726850,1.726850,1.726850,0
2021-01-07,1.721750,1.721750,1.721750,1.721750,1.721750,0
2021-01-08,1.724450,1.724450,1.724450,1.724450,1.724450,0
2021-01-11,1.728550,1.728550,1.728550,1.728550,1.728550,0
2021-01-12,1.738600,1.738600,1.738600,1.738600,1.738600,0
2021-01-13,1.731000,1.731000,1.731000,1.731000,1.731000,0
2021-01-14,1.729150,1.729150,1.729150,1.729150,1.729150,0
2021-01-15,1.728700,1.728700,1.728700,1.728700,1.728700,0
2021-01-19,1.735750,1.735750,1.735750,1.735750,1.735750,0
2021-01-20,1.725300,1.725300,1.725300,1.725300,1.725300,0
2021-01-21,1.733300,1.733300,1.733300,1.733300,1.733300,0
2021-01-22,1.741450,1.741450,1.741450,1.741450,1.741450,0
2021-01-25,1.742450,1.742450,1.742450,1.742450,1.742450,0
2021-01-26,1.743550,1.743550,1.743550,1.743550,1.743550,0
2021-01-27,1.751300,1.751300,1.751300,1.751300,1.751300,0
2021-01-28,1.758450,1.758450,1.758450,1.758450,1.758450,0
2021-01-29,1.754350,1.754350,1.754350,1.754350,1.754350,0
2021-02-01,1.755900,1.755900,1.755900,1.755900,1.755900,0
2021-02-02,1.748650,1.748650,1.748650,1.748650,1.748650,0
2021-02-03,1.743750,1.743750,1.743750,1.743750,1.743750,0
2021-02-04,1.754700,1.754700,1.754700,1.754700,1.754700,0
2021-02-05,1.752950,1.752950,1.752950,1.752950,1.752950,0
2021-02-08,1.751300,1.751300,1.751300,1.751300,1.751300,0
2021-02-09,1.753600,1.753600,1.753600,1.753600,1.753600,0
2021-02-10,1.756500,1.756500,1.756500,1.756500,1.756500,0
2021-02-11,1.753250,1.753250,1.753250,1.753250,1.753250,0
2021-02-12,1.759500,1.759500,1.759500,1.759500,1.759500,0
2021-02-16,1.763800,1.763800,1.763800,1.763800,1.763800,0
2021-02-17,1.760250,1.760250,1.760250,1.760250,1.760250,0
2021-02-18,1.772150,1.772150,1.772150,1.772150,1.772150,0
2021-02-19,1.768800,1.768800,1.768800,1.768800,1.768800,0
2021-02-22,1.773700,1.773700,1.773700,1.773700,1.773700,0
2021-02-23,1.776750,1.776750,1.776750,1.776750,1.776750,0
2021-02-24,1.769700,1.769700,1.769700,1.769700,1.769700,0
2021-02-25,1.765100,1.765100,1.765100,1.765100,1.765100,0
2021-02-26,1.772150,1.772150,1.772150,1.772150,1.772150,0
2021-03-01,1.761400,1.761400,1.761400,1.761400,1.761400,0
2021-03-02,1.761900,1.761900,1.761900,1.761900,1.761900,0
2021-03-03,1.763600,1.763600,1.763600,1.763600,1.763600,0
2021-03-04,1.758550,1.758550,1.758550,1.758550,1.758550,0
2021-03-05,1.753300,1.753300,1.753300,1.753300,1.753300,0
2021-03-08,1.751300,1.751300,1.751300,1.751300,1.751300,0
2021-03-09,1.755650,1.755650,1.755650,1.755650,1.755650,0
2021-03-10,1.758850,1.758850,1.758850,1.758850,1.758850,0
2021-03-11,1.754000,1.754000,1.754000,1.754000,1.754000,0
2021-03-12,1.735700,1.735700,1.735700,1.735700,1.735700,0
2021-03-15,1.737670,1.737670,1.737670,1.737670,1.737670,0
2021-03-16,1.729200,1.729200,1.729200,1.729200,1.729200,0
2021-03-17,1.731850,1.731850,1.731850,1.731850,1.731850,0
2021-03-18,1.742600,1.742600,1.742600,1.742600,1.742600,0
2021-03-19,1.733500,1.733500,1.733500,1.733500,1.733500,0
2021-03-22,1.734500,1.734500,1.734500,1.734500,1.734500,0
2021-03-23,1.729650,1.729650,1.729650,1.729650,1.729650,0
2021-03-24,1.720750,1.720750,1.720750,1.720750,1.720750,0
2021-03-25,1.733500,1.733500,1.733500,1.733500,1.733500,0
2021-03-26,1.736300,1.736300,1.736300,1.736300,1.736300,0
2021-03-29,1.733600,1.733600,1.733600,1.733600,1.733600,0
2021-03-30,1.733600,1.733600,1.733600,1.733600,1.733600,0
2021-03-31,1.731950,1.731950,1.731950,1.731950,1.731950,40
2021-04-01,1.735750,1.735750,1.735750,1.735750,1.735750,40
2021-04-05,1.737400,1.737400,1.737400,1.737400,1.737400,58
2021-04-06,1.738800,1.738800,1.738800,1.738800,1.738800,58
2021-04-07,1.734150,1.734150,1.734150,1.734150,1.734150,0
2021-04-08,1.725050,1.725050,1.725050,1.726350,1.726350,4
2021-04-09,1.718300,1.718300,1.718300,1.718300,1.718300,0
2021-04-12,1.726800,1.726800,1.726800,1.726800,1.726800,0
2021-04-13,1.723750,1.723750,1.723750,1.723750,1.723750,0
2021-04-14,1.726000,1.726000,1.726000,1.726000,1.726000,0
2021-04-15,1.728950,1.728950,1.728950,1.728950,1.728950,0
2021-04-16,1.729650,1.729650,1.729650,1.729650,1.729650,0
2021-04-19,1.753200,1.753200,1.753200,1.753200,1.753200,0
2021-04-20,1.757750,1.757750,1.757750,1.757750,1.757750,0
2021-04-21,1.740450,1.740450,1.740450,1.740450,1.740450,0
2021-04-22,1.729250,1.729250,1.729250,1.729250,1.729250,0
2021-04-23,1.731050,1.731050,1.731050,1.731050,1.731050,0
2021-04-26,1.724400,1.724400,1.724400,1.724400,1.724400,0
2021-04-27,1.724850,1.724850,1.724850,1.724850,1.724850,0
2021-04-28,1.717600,1.717600,1.717600,1.717600,1.717600,0
2021-04-29,1.713000,1.713000,1.713000,1.713000,1.713000,0
2021-04-30,1.695850,1.695850,1.695850,1.695850,1.695850,10
2021-05-03,1.707900,1.707900,1.707900,1.707900,1.707900,0
2021-05-04,1.709700,1.709700,1.709700,1.709700,1.709700,0
2021-05-05,1.708100,1.708100,1.708100,1.708100,1.708100,0
2021-05-06,1.691800,1.691800,1.691800,1.691800,1.691800,0
2021-05-07,1.699300,1.699300,1.699300,1.699300,1.699300,0
2021-05-10,1.710000,1.710000,1.710000,1.710000,1.710000,0
2021-05-11,1.711650,1.711650,1.711650,1.711650,1.711650,0
2021-05-12,1.702200,1.702200,1.702200,1.702200,1.702200,0
2021-05-13,1.708850,1.708850,1.708850,1.708850,1.708850,10
2021-05-14,1.708050,1.708050,1.708050,1.708050,1.708050,0
2021-05-17,1.706050,1.706050,1.706050,1.706050,1.706050,0
2021-05-18,1.711300,1.711300,1.711300,1.711300,1.711300,0
2021-05-19,1.711700,1.711700,1.711700,1.711700,1.711700,0
2021-05-20,1.710950,1.710950,1.710950,1.710950,1.710950,0
2021-05-21,1.707250,1.707300,1.707250,1.707700,1.707700,2
2021-05-24,1.705700,1.705700,1.705700,1.705700,1.705700,10
2021-05-25,1.706300,1.706300,1.706150,1.706350,1.706350,2
2021-05-26,1.711200,1.711200,1.711200,1.711200,1.711200,0
2021-05-27,1.714850,1.714850,1.714850,1.714850,1.714850,0
2021-05-28,1.715750,1.715750,1.715750,1.715750,1.715750,0
2021-06-01,1.707350,1.707350,1.707350,1.707350,1.707350,20
2021-06-02,1.705350,1.705350,1.705350,1.705350,1.705350,0
2021-06-03,1.706550,1.706550,1.706550,1.706550,1.706550,0
2021-06-04,1.710100,1.710100,1.710100,1.710100,1.710100,20
2021-06-07,1.712200,1.712200,1.712200,1.712200,1.712200,10
2021-06-08,1.714550,1.714550,1.714550,1.714550,1.714550,0
2021-06-09,1.708850,1.708850,1.708850,1.708850,1.708850,0
2021-06-10,1.712900,1.712900,1.712900,1.712900,1.712900,0
2021-06-11,1.716500,1.716500,1.716500,1.716500,1.716500,0
2021-06-14,1.713560,1.713560,1.713560,1.713560,1.713560,0
2021-06-15,1.716700,1.716700,1.716700,1.716700,1.716700,0
2021-06-16,1.717650,1.717650,1.717650,1.717650,1.717650,0
2021-06-17,1.720100,1.720100,1.720100,1.720100,1.720100,0
2021-06-18,1.717200,1.717200,1.717200,1.717200,1.717200,0
2021-06-21,1.721800,1.721800,1.721800,1.721800,1.721800,0
2021-06-22,1.717850,1.717850,1.717850,1.717850,1.717850,0
2021-06-23,1.718450,1.718450,1.718450,1.718450,1.718450,0
2021-06-24,1.716450,1.716450,1.716450,1.716450,1.716450,0
2021-06-25,1.708050,1.708050,1.708050,1.708050,1.708050,0
2021-06-28,1.713300,1.713300,1.713300,1.713300,1.713300,0
2021-06-29,1.716700,1.716700,1.716700,1.716700,1.716700,0
2021-06-30,1.715000,1.715150,1.715000,1.712350,1.712350,2
2021-07-01,1.711900,1.711900,1.711900,1.711900,1.711900,10
2021-07-02,1.703250,1.704400,1.703250,1.704350,1.704350,2
2021-07-06,1.719950,1.719950,1.719950,1.719950,1.719950,0
2021-07-07,1.722000,1.722000,1.722000,1.722000,1.722000,0
2021-07-08,1.726650,1.726650,1.726650,1.726650,1.726650,0
2021-07-09,1.730250,1.730250,1.730250,1.730250,1.730250,0
2021-07-12,1.729750,1.729750,1.729750,1.729750,1.729750,0
2021-07-13,1.730250,1.730250,1.730250,1.730250,1.730250,0
2021-07-14,1.733050,1.733050,1.733050,1.733050,1.733050,20
2021-07-15,1.741500,1.741500,1.741500,1.741500,1.741500,0
2021-07-16,1.734850,1.734850,1.734850,1.736000,1.736000,2
2021-07-19,1.743000,1.743000,1.743000,1.743000,1.743000,0
2021-07-20,1.729950,1.729950,1.729950,1.729950,1.729950,0
2021-07-21,1.723000,1.723000,1.723000,1.723000,1.723000,0
2021-07-22,1.729900,1.729900,1.729900,1.729900,1.729900,0
2021-07-23,1.729850,1.729850,1.729850,1.729850,1.729850,0
2021-07-26,1.733600,1.733600,1.733600,1.733600,1.733600,0
2021-07-27,1.748900,1.748900,1.748900,1.748900,1.748900,0
2021-07-28,1.742750,1.742750,1.742750,1.742750,1.742750,0
2021-07-29,1.737900,1.737900,1.737900,1.737900,1.737900,0
2021-07-30,1.733250,1.733350,1.733250,1.733800,1.733800,2
2021-08-02,1.737950,1.737950,1.737950,1.737950,1.737950,0
2021-08-03,1.745850,1.745850,1.745800,1.744850,1.744850,2
2021-08-04,1.743350,1.743350,1.743350,1.743350,1.743350,0
2021-08-05,1.741100,1.741100,1.741100,1.741100,1.741100,0
2021-08-06,1.742650,1.742650,1.742650,1.742650,1.742650,0
2021-08-09,1.742100,1.742100,1.742100,1.742100,1.742100,0
2021-08-10,1.734050,1.734050,1.734050,1.734050,1.734050,0
2021-08-11,1.734550,1.734550,1.734550,1.734550,1.734550,0
2021-08-12,1.729450,1.729450,1.729450,1.729450,1.729450,0
2021-08-13,1.736100,1.736100,1.736100,1.736100,1.736100,0
2021-08-16,1.739650,1.739650,1.739650,1.739650,1.739650,0
2021-08-17,1.734350,1.734350,1.734350,1.734350,1.734350,0
2021-08-18,1.738650,1.738650,1.738650,1.738650,1.738650,0
2021-08-19,1.748700,1.748700,1.748700,1.748700,1.748700,0
2021-08-20,1.750150,1.750150,1.750150,1.750150,1.750150,0
2021-08-23,1.736450,1.736450,1.736450,1.736450,1.736450,0
2021-08-24,1.729450,1.729450,1.729450,1.729450,1.729450,0
2021-08-25,1.734000,1.734000,1.734000,1.734000,1.734000,0
2021-08-26,1.737400,1.737400,1.737400,1.737400,1.737400,0
2021-08-27,1.737650,1.737650,1.737650,1.737650,1.737650,0
2021-08-30,1.735750,1.735750,1.735750,1.735750,1.735750,0
2021-08-31,1.734500,1.734500,1.734500,1.734500,1.734500,0
2021-09-01,1.738350,1.738350,1.738350,1.738350,1.738350,0
2021-09-02,1.737600,1.737600,1.737600,1.737600,1.737600,0
2021-09-03,1.736350,1.736350,1.736200,1.736950,1.736950,2
2021-09-07,1.741400,1.741450,1.741400,1.743100,1.743100,2
2021-09-08,1.746500,1.746500,1.746500,1.746500,1.746500,0
2021-09-09,1.750450,1.750450,1.750450,1.750450,1.750450,0
2021-09-10,1.752650,1.752650,1.752650,1.752650,1.752650,0
2021-09-13,1.751610,1.751610,1.751610,1.751610,1.751610,0
2021-09-14,1.752850,1.752850,1.752850,1.752850,1.752850,0
2021-09-15,1.748950,1.748950,1.748950,1.748950,1.748950,0
2021-09-16,1.748900,1.748900,1.748900,1.748900,1.748900,0
2021-09-17,1.751400,1.751400,1.751400,1.751400,1.751400,0
2021-09-20,1.750850,1.750850,1.750850,1.750850,1.750850,0
2021-09-21,1.750900,1.750900,1.750900,1.750900,1.750900,0
2021-09-22,1.740050,1.740050,1.740050,1.740050,1.740050,0
2021-09-23,1.737500,1.737500,1.737500,1.737500,1.737500,0
2021-09-24,1.729900,1.729900,1.729900,1.729900,1.729900,0
2021-09-27,1.730500,1.730500,1.730500,1.730500,1.730500,0
2021-09-28,1.716100,1.716100,1.716100,1.716100,1.716100,0
